draw_number,date,day_of_week,num1,num2,num3,num4,num5,num6,additional_number,group1_prize,group1_winners,is_synthetic
3355,2018-03-22,Thursday,5,6,13,21,27,47,42,0,0,False
3356,2018-03-26,Monday,6,13,14,27,32,36,29,0,0,False
3357,2018-03-29,Thursday,11,15,17,21,27,33,10,0,0,False
3358,2018-04-02,Monday,3,12,30,39,43,48,20,0,0,False
3359,2018-04-05,Thursday,3,5,21,30,32,40,34,0,0,False
3360,2018-04-09,Monday,18,36,40,41,43,49,28,0,0,False
3361,2018-04-12,Thursday,1,7,15,27,32,38,45,0,0,False
3362,2018-04-16,Monday,14,22,25,27,28,29,1,0,0,False
3363,2018-04-19,Thursday,18,22,32,35,36,44,38,0,0,False
3364,2018-04-23,Monday,1,30,32,36,37,41,16,0,0,False
3365,2018-04-26,Thursday,5,14,17,25,28,46,39,0,0,False
3366,2018-04-30,Monday,7,13,18,21,32,35,14,0,0,False
3367,2018-05-03,Thursday,14,23,28,30,32,48,8,0,0,False
3368,2018-05-07,Monday,2,7,12,15,23,44,34,0,0,False
3369,2018-05-10,Thursday,4,14,35,38,45,47,13,0,0,False
3370,2018-05-14,Monday,17,24,29,45,46,49,5,0,0,False
3371,2018-05-17,Thursday,7,21,25,29,35,37,13,0,0,False
3372,2018-05-21,Monday,8,10,16,30,37,44,17,0,0,False
3373,2018-05-24,Thursday,11,25,26,34,36,42,16,0,0,False
3374,2018-05-28,Monday,5,9,27,28,30,44,2,0,0,False
3375,2018-05-31,Thursday,11,13,24,26,47,49,33,0,0,False
3376,2018-06-04,Monday,20,22,31,37,43,45,27,0,0,False
3377,2018-06-07,Thursday,12,20,29,31,37,39,42,0,0,False
3378,2018-06-11,Monday,16,25,30,37,44,49,34,0,0,False
3379,2018-06-14,Thursday,4,29,31,35,42,48,1,0,0,False
3380,2018-06-18,Monday,11,15,22,23,26,43,25,0,0,False
3381,2018-06-21,Thursday,4,6,15,24,30,35,46,0,0,False
